name	sum_formula	M [g/mol]	V_det_273K [l/kg]	V_comb_273K [l/kg]	OB [%]
TNT	C7H5N3O6	227.132	739.4982724536993	1084.5974662654257	-73.96579962312664
PA	C6H3N3O7	229.104	733.1330820018577	879.7596984022292	-45.39423144074307
Tetryl	C7H5N5O8	287.144	740.9315443958708	935.9135297632052	-47.36299557016688
HNS	C14H6N6O12	450.232	746.1207627132395	994.8276836176527	-67.52074486042751
RDX	C3H6N6O6	222.11700000000002	604.9558444205661	907.4337666308492	-21.61023244506274
HMX	C4H8N8O8	296.156	604.9558444205661	907.4337666308492	-21.61023244506274
CL20	C6H6N12O12	438.18600000000004	613.3056615006545	766.6320768758181	-10.954252303816189
EGDN	C2H4N2O6	152.062	441.82957377636393	736.3826229606066	-0.0
Trinitroglycerin	C3H5N3O9	227.085	443.79079627175804	690.3412386449569	3.522909923596891
PETN	C5H8N4O12	316.135	495.88353133215253	779.2455492362399	-10.122257896151961
NQ	CH4N4O2	104.069	645.5859924432967	1075.9766540721612	-30.74883010310467
ANFO	N20H40O30C1	812.441	303.2180696294237	854.5236507738304	15.754990208519757
Ammonium perchlorate	NH4Cl1O4	117.48500000000001	95.31073278515191	476.5536639257596	27.237519683363836
Ammonium chlorate	NH4ClO3	101.486	110.33621821003463	551.6810910501732	15.765721380288905
Tetrazene	C2H8N10O	188.155	714.1504466804649	1309.275818914186	-59.52539129972629
Pb(N3)2	PbN6	291.24199999999996	230.68612579085936	230.68612579085936	-5.493713132034529
Ag3N	Ag3N	337.70700000000005	33.15768237336974	33.15768237336974	-0.0
TATP	C9H18O6	222.237	604.6291899870989	1813.8875699612968	-151.18994586859975
NC_mono	C6H9NO7	207.13800000000003	702.7612448533173	1189.2882605209986	-73.3810310034856
NC_di	C6H8N2O9	252.135	621.7547749328337	977.0432177515961	-44.42064766890752
NC_tri	C6H7N3O11	297.132	565.2831792568745	829.0819962434159	-24.23165461814951
black powder	K2N2O6SC3	338.141	264.92099902143957	264.92099902143957	-9.463507826616707
nitromethane	CH3NO2	61.040000000000006	550.3398480306474	1100.6796960612949	-39.31847968545216
C(s)	C	12.011	0.0	1864.554398678474	-266.4224460910832
C(s,poly)	C100	1201.1	0.0	1864.554398678474	-266.4224460910832
H2	H2	2.016	0.0	11108.711747285291	-793.6507936507936
